iter	Passed	Remaining
0	269	269682
1	507	253267
2	798	265526
3	1052	262148
4	1287	256120
5	1536	254625
6	1868	265070
7	2192	271831
8	2476	272693
9	2747	271990
10	3002	269951
11	3234	266302
12	3467	263235
13	3739	263361
14	4017	263808
15	4261	262102
16	4518	261290
17	4778	260714
18	4998	258081
19	5263	257932
20	5523	257512
21	5782	257036
22	6051	257044
23	6324	257185
24	6653	259505
25	6905	258697
26	7189	259072
27	7431	257970
28	7668	256761
29	7931	256463
30	8153	254876
31	8415	254559
32	8661	253797
33	8920	253435
34	9166	252737
35	9431	252558
36	9676	251843
37	9928	251340
38	10171	250644
39	10432	250384
40	10702	250324
41	10972	250281
42	11241	250196
43	11502	249925
44	11776	249913
45	12044	249797
46	12297	249361
47	12530	248528
48	12822	248869
49	13091	248730
50	13345	248327
51	13657	248993
52	14008	250311
53	14261	249847
54	14533	249706
55	14813	249714
56	15080	249497
57	15364	249543
58	15618	249105
59	15850	248330
60	16148	248579
61	16429	248559
62	16709	248519
63	16944	247806
64	17223	247755
65	17459	247077
66	17729	246884
67	18008	246821
68	18284	246709
69	18535	246256
70	18806	246069
71	19100	246179
72	19378	246084
73	19676	246221
74	19946	246001
75	20180	245354
76	20448	245112
77	20680	244455
78	20959	244356
79	21307	245033
80	21562	244645
81	21833	244431
82	22117	244363
83	22392	244179
84	22664	243972
85	22981	244245
86	23218	243664
87	23456	243093
88	23712	242718
89	23966	242324
90	24242	242154
91	24529	242093
92	24805	241919
93	25106	241987
94	25362	241611
95	25633	241383
96	25907	241176
97	26183	240996
98	26438	240613
99	26721	240489
100	26972	240081
101	27244	239857
102	27529	239743
103	27802	239526
104	28069	239260
105	28325	238899
106	28596	238664
107	28877	238506
108	29157	238342
109	29507	238740
110	29770	238432
111	30042	238194
112	30332	238094
113	30605	237863
114	30877	237625
115	31149	237383
116	31431	237215
117	31764	237422
118	32018	237042
119	32599	239066
120	33195	241148
121	33529	241302
122	33812	241083
123	34099	240893
124	34388	240717
125	34669	240485
126	34941	240188
127	35213	239890
128	35479	239553
129	35763	239338
130	36037	239055
131	36324	238863
132	36605	238623
133	36885	238380
134	37170	238164
135	37524	238390
136	37780	237986
137	38060	237738
138	38314	237330
139	38610	237178
140	38882	236877
141	39137	236477
142	39412	236201
143	39684	235899
144	39964	235652
145	40224	235283
146	40479	234888
147	40758	234634
148	41035	234372
149	41316	234125
150	41609	233951
151	41893	233722
152	42169	233446
153	42448	233193
154	42731	232954
155	42986	232569
156	43243	232193
157	43528	231967
158	43783	231584
159	44066	231347
160	44333	231032
161	44594	230678
162	44928	230706
163	45156	230190
164	45428	229895
165	45697	229586
166	45970	229303
167	46216	228883
168	46488	228590
169	46713	228070
170	46984	227778
171	47253	227474
172	47527	227197
173	47789	226864
174	48052	226531
175	48325	226251
176	48584	225904
177	48846	225570
178	49108	225241
179	49356	224844
180	49628	224560
181	49873	224154
182	50139	223846
183	50414	223577
184	50686	223293
185	50946	222957
186	51225	222706
187	51488	222385
188	51770	222148
189	52109	222151
190	52373	221834
191	52635	221507
192	52853	220999
193	53127	220723
194	53391	220411
195	53654	220092
196	53933	219842
197	54191	219501
198	54453	219183
199	54734	218938
200	54987	218582
201	55282	218392
202	55450	217705
203	55703	217352
204	55955	216996
205	56236	216757
206	56515	216507
207	56806	216303
208	57078	216022
209	57368	215814
210	57649	215569
211	57901	215217
212	58176	214953
213	58447	214672
214	58729	214430
215	59009	214182
216	59278	213894
217	59622	213873
218	59876	213531
219	60115	213137
220	60356	212751
221	60634	212494
222	60886	212148
223	61167	211902
224	61402	211497
225	61746	211466
226	62021	211200
227	62281	210884
228	62559	210625
229	62843	210390
230	63116	210113
231	63395	209862
232	63676	209614
233	63958	209368
234	64242	209130
235	64521	208875
236	64777	208544
237	65052	208277
238	65336	208038
239	65621	207801
240	65902	207551
241	66186	207312
242	66477	207092
243	66761	206851
244	67085	206731
245	67357	206454
246	67608	206111
247	67887	205852
248	68164	205587
249	68431	205295
250	68702	205012
251	68972	204728
252	69225	204392
253	69479	204062
254	69760	203808
255	70042	203560
256	70293	203220
257	70549	202899
258	70830	202645
259	71094	202345
260	71467	202353
261	71781	202193
262	72142	202164
263	72520	202177
264	72908	202219
265	73185	201948
266	73501	201784
267	73764	201477
268	74020	201149
269	74358	201044
270	74723	201008
271	75035	200831
272	75442	200904
